date,delay,distance,origin,destination
2001-03-26 09:30:00,5,314,CLE,BWI
2001-01-15 14:20:00,3,217,IAH,DAL
2001-01-14 10:10:00,-1,417,SJC,SAN
2001-03-23 20:10:00,5,239,HOU,DAL
2001-02-25 10:05:00,-1,229,IND,STL
2001-02-03 12:50:00,-19,666,JAN,MDW
2001-01-25 07:55:00,-2,192,HOU,SAT
2001-02-01 14:00:00,0,239,DAL,HOU
2001-03-31 06:40:00,-10,507,SLC,PHX
2001-01-31 15:15:00,-4,347,ELP,PHX
2001-03-24 09:25:00,-4,314,CLE,BWI
2001-01-31 07:00:00,3,337,LAX,OAK
2001-02-02 09:45:00,-5,324,DAL,AMA
2001-01-16 18:00:00,8,223,ELP,ABQ
2001-01-06 12:40:00,9,737,BWI,STL
2001-02-08 19:55:00,10,351,STL,TUL
2001-03-14 11:45:00,5,843,PHX,SAT
2001-03-09 12:15:00,0,718,ABQ,MCI
2001-01-29 07:00:00,-5,148,HOU,AUS
2001-01-29 12:35:00,22,321,BHM,MSY
2001-02-26 06:00:00,-5,337,OAK,LAX
2001-03-26 21:15:00,0,187,HOU,CRP
2001-03-26 09:40:00,-1,632,RDU,MDW
2001-02-14 07:00:00,25,423,OMA,MDW
2001-03-01 16:55:00,13,580,DAL,ABQ
2001-03-07 06:25:00,-5,373,SMF,LAX
2001-02-25 21:30:00,57,663,BWI,JAX
2001-03-12 11:00:00,-5,239,DAL,HOU
2001-01-31 19:01:00,30,332,MAF,ABQ
2001-03-22 07:00:00,-7,337,LAX,OAK
2001-02-02 09:25:00,-13,682,BHM,BWI
2001-03-11 12:48:00,33,256,LAS,PHX
2001-01-21 19:31:00,4,293,LBB,DAL
2001-02-27 08:30:00,0,440,STL,DTW
2001-01-06 19:05:00,0,829,TPA,CMH
2001-02-27 20:00:00,17,1234,MCI,PVD
2001-01-07 08:20:00,-18,405,MCI,MDW
2001-02-12 19:00:00,-7,471,MSY,BNA
2001-02-24 07:30:00,35,307,CLE,MDW
2001-03-04 17:27:00,9,248,DAL,SAT
2001-03-19 10:25:00,-5,296,STL,LIT
2001-03-25 19:45:00,10,389,SMF,ONT
2001-03-12 20:28:00,0,325,BUR,OAK
2001-03-31 09:45:00,-7,180,RNO,OAK
2001-02-05 12:05:00,-5,325,BUR,OAK
2001-01-31 16:25:00,0,569,SJC,PDX
2001-03-20 17:35:00,0,407,LAS,OAK
2001-03-11 15:33:00,15,453,HOU,TUL
2001-02-16 11:30:00,13,197,ONT,LAS
2001-01-17 19:10:00,13,487,LAS,ABQ
2001-03-20 17:26:00,10,345,LAS,RNO
2001-03-12 14:05:00,-4,254,SDF,STL
2001-03-18 13:25:00,-3,405,MCI,MDW
2001-03-23 20:40:00,-10,550,MCO,MSY
2001-03-22 12:05:00,0,303,MSY,HOU
2001-01-07 09:42:00,16,308,LAX,SJC
2001-01-26 19:40:00,10,1166,FLL,MDW
2001-02-20 07:00:00,4,325,OAK,BUR
2001-03-28 10:20:00,-3,1069,SAT,LAS
2001-02-22 16:20:00,-8,258,SAN,LAS
2001-03-20 07:10:00,-3,866,SEA,LAS
2001-03-01 09:40:00,-7,307,CLE,MDW
2001-03-29 06:25:00,4,220,ISP,BWI
2001-03-18 19:02:00,68,192,SAT,HOU
2001-01-25 13:20:00,9,756,BNA,AUS
2001-01-17 22:25:00,-4,389,SMF,ONT
2001-03-21 10:05:00,-1,233,HRL,SAT
2001-01-08 20:45:00,-10,386,LAS,SJC
2001-01-31 20:27:00,5,880,STL,MCO
2001-03-19 19:00:00,0,345,RNO,LAS
2001-01-28 17:25:00,-12,2106,BWI,LAS
2001-02-12 19:32:00,11,405,MDW,MCI
2001-03-08 08:40:00,-5,397,LAS,SMF
2001-02-09 13:33:00,8,304,SAN,PHX
2001-01-26 13:40:00,126,236,LAS,LAX
2001-02-14 17:00:00,63,251,MDW,STL
2001-03-21 14:15:00,0,1048,TPA,MCI
2001-01-07 15:23:00,-14,1912,PHX,BUF
2001-01-21 11:40:00,7,296,SJC,BUR
2001-01-29 08:15:00,3,237,TUL,DAL
2001-01-13 09:23:00,29,239,HOU,DAL
2001-03-31 07:45:00,-4,405,MDW,MCI
2001-01-22 10:40:00,-30,1180,ABQ,SEA
2001-01-25 19:30:00,7,337,OAK,LAX
2001-01-06 14:16:00,57,718,MCI,ABQ
2001-01-12 07:35:00,-15,1073,PVD,MCO
2001-01-05 18:15:00,-15,1073,MCO,ALB
2001-01-29 17:10:00,-2,284,MDW,CMH
2001-01-24 21:05:00,23,507,PHX,SLC
2001-03-04 20:45:00,25,308,SJC,LAX
2001-01-23 21:45:00,-2,417,SJC,SAN
2001-02-08 06:40:00,3,601,RNO,PHX
2001-01-05 11:30:00,5,328,PHX,ABQ
2001-03-04 07:30:00,14,237,MCI,STL
2001-02-18 20:05:00,-1,588,BWI,BNA
2001-01-11 18:20:00,10,314,CLE,BWI
2001-03-10 14:45:00,-12,197,LAS,ONT
2001-01-30 14:25:00,-12,507,SLC,PHX
2001-01-18 14:27:00,3,229,DTW,MDW
2001-03-08 12:44:00,76,370,LAX,PHX
2001-01-24 08:20:00,-2,248,SAT,DAL
2001-02-14 15:00:00,8,281,BUF,BWI
2001-01-19 07:25:00,-1,294,MAF,AUS
2001-02-06 12:17:00,22,843,PHX,SAT
2001-03-03 13:15:00,-8,224,GEG,SEA
2001-02-19 08:10:00,-11,389,SMF,ONT
2001-02-06 10:10:00,-2,584,ELP,LAS
2001-02-03 06:40:00,-15,487,CLE,STL
2001-02-18 18:35:00,-4,543,OAK,PDX
2001-01-30 19:20:00,0,358,BUR,SMF
2001-02-14 18:05:00,10,276,HOU,HRL
2001-02-08 19:40:00,14,528,ELP,AUS
2001-02-10 20:45:00,-5,417,SJC,SAN
2001-03-09 20:08:00,23,237,TUL,DAL
2001-03-02 20:50:00,-5,612,BNA,TPA
2001-02-05 10:10:00,-2,1107,PHX,SEA
2001-03-20 19:10:00,0,872,PHX,AUS
2001-01-16 12:38:00,10,239,DAL,HOU
2001-02-12 08:18:00,19,714,LAX,ELP
2001-01-20 18:00:00,0,303,MSY,HOU
2001-01-13 08:00:00,15,251,STL,MDW
2001-02-14 22:20:00,35,369,PHX,BUR
2001-01-08 11:50:00,3,423,OMA,MDW
2001-03-27 07:00:00,-10,296,BUR,SJC
2001-01-01 15:30:00,-15,1521,MDW,LAS
2001-02-15 14:55:00,4,1009,PHX,PDX
2001-01-13 17:30:00,-15,647,SMF,PHX
2001-01-20 19:30:00,15,967,MCI,BWI
2001-02-28 07:40:00,-10,371,SNA,OAK
2001-02-19 14:00:00,-7,803,BNA,ISP
2001-03-25 10:25:00,-8,162,MDW,IND
2001-03-29 06:05:00,-7,258,LAS,SAN
2001-02-27 19:25:00,10,178,FLL,MCO
2001-03-26 07:30:00,-3,223,ELP,ABQ
2001-02-18 09:50:00,-12,1301,PHX,MSY
2001-01-30 11:00:00,-9,337,OAK,LAX
2001-01-03 06:00:00,3,303,MSY,HOU
2001-03-24 12:38:00,33,258,SAN,LAS
2001-01-20 14:10:00,44,178,FLL,MCO
2001-03-16 20:24:00,13,1069,SAT,LAS
2001-03-10 07:00:00,-8,1140,LAS,MCI
2001-03-24 08:45:00,-5,670,BNA,HOU
2001-03-25 16:05:00,3,479,PDX,SMF
2001-02-13 19:25:00,3,276,HOU,HRL
2001-02-12 17:10:00,2,550,MSY,MCO
2001-01-10 08:20:00,-17,1234,PVD,MCI
2001-02-05 13:05:00,14,869,TPA,STL
2001-03-30 09:50:00,9,1501,MSY,LAS
2001-02-02 11:30:00,27,612,TPA,BNA
2001-03-08 20:45:00,107,507,SLC,PHX
2001-01-20 07:05:00,62,588,OAK,SLC
2001-01-01 11:52:00,18,543,PDX,OAK
2001-03-12 08:27:00,4,580,DAL,ABQ
2001-01-13 20:45:00,10,550,MCO,MSY
2001-02-01 19:15:00,-10,682,BHM,BWI
2001-03-06 10:59:00,8,451,TUS,LAX
2001-02-14 08:15:00,5,1020,HOU,PHX
2001-02-03 15:04:00,11,587,TPA,RDU
2001-03-11 09:20:00,-7,687,HOU,STL
2001-01-29 08:00:00,22,251,MDW,STL
2001-02-01 06:30:00,-3,407,OAK,LAS
2001-03-13 20:25:00,17,842,TPA,BWI
2001-02-13 20:40:00,0,307,MDW,CLE
2001-02-12 12:20:00,-5,405,MCI,MDW
2001-03-09 19:11:00,9,471,MSY,BNA
2001-01-23 15:15:00,-7,254,STL,SDF
2001-01-29 08:40:00,2,1236,MHT,MCI
2001-01-12 08:40:00,-8,224,GEG,SEA
2001-01-04 13:45:00,-11,373,LAX,SMF
2001-03-20 19:45:00,-2,288,ALB,BWI
2001-02-12 11:50:00,47,386,LAS,SJC
2001-01-20 07:05:00,-5,386,SJC,LAS
2001-01-17 08:05:00,5,314,BWI,CLE
2001-03-07 12:40:00,-3,484,JAX,BNA
2001-02-28 07:05:00,0,325,BUR,OAK
2001-03-20 09:35:00,0,828,MCO,IND
2001-01-22 12:09:00,-3,258,SAN,LAS
2001-01-13 15:17:00,-8,296,DAL,LIT
2001-03-19 09:10:00,9,181,DAL,OKC
2001-03-05 16:08:00,2,271,MDW,SDF
2001-02-09 06:15:00,-10,446,OAK,SAN
2001-03-14 08:25:00,0,888,BWI,JAN
2001-03-21 09:44:00,5,1489,MCI,SEA
2001-03-19 22:25:00,40,621,SJC,PHX
2001-01-30 21:30:00,-5,447,SAN,SFO
2001-01-23 15:25:00,-11,666,MDW,JAN
2001-01-22 09:45:00,-2,324,DAL,AMA
2001-03-29 10:20:00,9,256,PHX,LAS
2001-03-04 16:54:00,27,180,OAK,RNO
2001-02-14 13:37:00,22,487,MSY,TPA
2001-03-02 22:05:00,3,550,MSY,MCO
2001-02-24 12:40:00,10,342,SJC,SNA
2001-01-07 12:35:00,-1,687,STL,HOU
2001-03-12 11:35:00,-9,671,SEA,OAK
2001-03-30 06:30:00,-9,361,OAK,ONT
2001-01-19 16:06:00,5,237,DAL,TUL
2001-02-04 15:25:00,38,588,BNA,BWI
2001-03-15 16:35:00,26,337,LAX,OAK
2001-03-20 06:40:00,-10,496,SAT,ELP
2001-01-08 11:50:00,-5,220,BWI,ISP
2001-03-18 13:55:00,-1,189,AUS,DAL
2001-02-24 16:50:00,24,304,PHX,SAN
2001-02-15 18:41:00,44,417,SJC,SAN
2001-03-22 16:25:00,-5,630,PDX,SLC
2001-03-29 16:30:00,-3,239,DAL,HOU
2001-02-08 06:35:00,-3,256,PHX,LAS
2001-02-11 07:25:00,-15,281,BUF,BWI
2001-02-17 08:37:00,6,453,HOU,TUL
2001-01-11 07:55:00,0,487,LAS,ABQ
2001-01-09 18:40:00,-8,480,SMF,SAN
2001-02-08 14:20:00,-10,422,RNO,SLC
2001-01-23 09:10:00,-4,347,ELP,PHX
2001-01-19 21:10:00,6,229,IND,STL
2001-02-05 14:00:00,-4,304,PHX,SAN
2001-01-21 14:40:00,24,496,SAT,ELP
2001-02-26 18:54:00,59,386,LAS,SJC
2001-03-16 18:05:00,41,328,BWI,PVD
2001-02-27 17:00:00,-10,495,SDF,BWI
2001-03-01 09:40:00,46,189,DAL,AUS
2001-03-25 11:32:00,2,471,MSY,BNA
2001-03-07 19:27:00,2,181,OKC,DAL
2001-01-27 16:30:00,-1,178,FLL,MCO
2001-02-15 22:03:00,20,313,MCI,OKC
2001-03-05 14:55:00,0,405,MCI,MDW
2001-03-23 14:55:00,-10,758,BNA,PBI
2001-03-19 08:35:00,-3,325,PHX,ONT
2001-02-28 08:05:00,0,284,MDW,CMH
2001-01-22 13:50:00,-3,611,MDW,BWI
2001-03-02 19:05:00,2,687,HOU,STL
2001-03-13 17:25:00,14,543,OAK,PDX
2001-01-31 06:30:00,1,872,AUS,PHX
2001-01-07 07:45:00,-5,451,LAX,TUS
2001-02-06 06:30:00,0,588,BWI,BNA
2001-02-20 14:08:00,-1,254,SDF,STL
2001-03-01 07:30:00,-3,237,MCI,STL
2001-03-13 09:53:00,40,407,OAK,LAS
2001-02-07 09:20:00,0,616,BNA,MCO
2001-03-09 12:20:00,-5,237,TUL,DAL
2001-01-08 16:17:00,17,448,BNA,CLE
2001-01-03 17:45:00,-5,192,SAT,HOU
2001-03-07 18:20:00,12,289,LBB,ABQ
2001-01-23 12:20:00,-5,236,LAX,LAS
2001-01-14 16:15:00,13,328,ABQ,PHX
2001-03-23 07:45:00,-10,296,DAL,LIT
2001-03-11 09:35:00,-1,319,DAL,MAF
2001-03-30 14:10:00,15,314,CLE,BWI
2001-03-22 21:15:00,0,281,BWI,BUF
2001-01-07 08:40:00,-7,180,RNO,OAK
2001-03-17 19:55:00,37,276,HOU,HRL
2001-02-15 10:45:00,-5,395,BNA,MDW
2001-03-02 18:22:00,0,314,CLE,BWI
2001-01-10 06:20:00,-3,491,BNA,MCI
2001-01-04 09:22:00,7,487,MSY,TPA
2001-02-17 20:30:00,-10,1048,MCI,TPA
2001-02-16 19:00:00,20,370,LAX,PHX
2001-01-02 16:32:00,13,308,LAX,SJC
2001-01-11 10:59:00,71,337,LAX,OAK
2001-01-11 06:40:00,2,359,JAN,HOU
2001-01-26 08:50:00,-5,189,DAL,AUS
2001-02-25 14:55:00,5,1034,ISP,TPA
2001-02-11 21:25:00,11,1140,MCI,LAS
2001-02-25 20:30:00,10,407,LAS,OAK
2001-02-01 16:35:00,3,405,MDW,MCI
2001-03-30 14:00:00,13,197,ONT,LAS
2001-03-31 13:45:00,-7,1107,PHX,SEA
2001-03-14 16:15:00,5,479,PDX,SMF
2001-01-24 10:30:00,0,370,LAX,PHX
2001-02-28 11:20:00,0,178,MCO,FLL
2001-01-05 09:45:00,-9,324,DAL,AMA
2001-01-16 20:50:00,-3,287,BOI,GEG
2001-01-30 15:35:00,-6,1363,LAX,MCI
2001-01-17 19:35:00,15,296,SJC,BUR
2001-02-15 17:43:00,-5,872,AUS,PHX
2001-01-05 18:20:00,-7,293,DAL,LBB
2001-03-19 09:45:00,-3,303,HOU,MSY
2001-01-28 20:00:00,-5,337,OAK,LAX
2001-03-29 06:45:00,-5,550,MSY,MCO
2001-02-15 19:49:00,62,345,LAS,RNO
2001-02-26 15:05:00,-3,888,BWI,JAN
2001-03-14 07:15:00,-4,318,JAX,FLL
2001-03-20 16:17:00,0,351,TUL,STL
